timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high,sc_amp_0,sc_amp_1,sc_amp_2,sc_amp_3,sc_amp_4,sc_amp_5,sc_amp_6,sc_amp_7,sc_amp_8,sc_amp_9,sc_amp_10,sc_amp_11,sc_amp_12,sc_amp_13,sc_amp_14,sc_amp_15,sc_amp_16,sc_amp_17,sc_amp_18,sc_amp_19,sc_amp_20,sc_amp_21,sc_amp_22,sc_amp_23,sc_amp_24,sc_amp_25,sc_amp_26,sc_amp_27,sc_amp_28,sc_amp_29,sc_amp_30,sc_amp_31,sc_amp_32,sc_amp_33,sc_amp_34,sc_amp_35,sc_amp_36,sc_amp_37,sc_amp_38,sc_amp_39,sc_amp_40,sc_amp_41,sc_amp_42,sc_amp_43,phase_mean,phase_std,phase_range,phase_diff_mean,phase_diff_std,phase_diff_range,phase_diff_skew
2026-03-13T11:21:44.374011,movement_stairs_0_0_0,3.236,1.012,0.329,6.551,46.447,8.047,102.0,12.528,14.004,6.34,3.991,8.54,9.43,8.49,9.85,10.0,10.05,10.3,10.63,11.18,11.4,12.0,10.77,11.4,11.66,11.4,11.0,13.0,12.04,11.18,13.04,12.37,6.4,6.32,5.1,5.0,4.47,5.1,4.12,4.47,3.61,3.0,2.24,3.16,2.83,1.0,2.24,2.0,1.0,3.61,3.0,4.12,5.39,5.66,4.47,0.183,1.849,6.1835,-0.005,1.4497,7.2907,-3.6145
2026-03-13T11:21:44.390878,movement_stairs_0_0_0,3.236,1.012,0.327,0.105,-0.583,7.015,20.0,4.499,10.494,5.993,4.671,10.82,12.0,11.4,10.05,9.22,9.22,8.94,9.85,10.44,10.63,10.05,9.43,9.06,8.6,10.2,11.18,12.08,12.37,12.21,13.04,11.4,5.0,5.0,4.47,4.12,4.12,3.61,2.24,1.0,1.0,2.24,3.16,2.24,2.0,2.24,2.83,3.16,3.61,5.39,5.1,5.66,5.1,5.66,5.1,-0.0363,1.851,6.1725,-0.0727,2.0778,7.1824,-2.104
2026-03-13T11:21:44.543885,movement_stairs_0_0_0,3.236,0.989,0.318,6.004,41.25,8.523,104.0,13.091,16.224,5.817,3.756,11.7,12.04,11.18,12.21,12.04,11.18,12.0,12.17,11.66,13.45,11.18,13.15,13.04,12.53,12.73,12.53,14.56,14.04,13.93,13.45,13.0,4.47,2.24,2.83,2.24,1.41,0.0,1.41,1.0,1.41,1.0,2.24,1.41,1.41,2.24,2.0,2.24,3.61,2.24,3.61,4.12,4.12,4.47,4.24,-0.061,1.7456,6.2064,-0.0442,1.5621,8.8736,-2.6525
2026-03-13T11:21:44.543885,movement_stairs_0_0_0,3.236,0.989,0.318,5.608,37.509,2.682,23.0,2.85,3.514,2.585,1.979,2.0,1.41,2.24,2.24,3.16,2.24,2.83,3.16,2.24,2.83,2.0,2.24,2.0,2.83,3.0,3.16,3.61,4.0,4.24,5.0,4.47,3.16,3.61,4.47,3.16,2.24,2.24,2.24,2.24,2.0,3.16,2.83,2.24,2.0,1.41,2.0,1.41,1.41,1.41,2.24,2.0,2.24,2.24,2.0,0.0791,1.9202,5.9614,-0.0198,1.9592,7.5322,-2.3974
2026-03-13T11:21:44.568351,movement_stairs_0_0_0,3.122,0.989,0.335,7.362,54.398,6.06,116.0,14.122,10.223,5.082,3.02,5.39,5.1,4.0,5.39,5.0,4.24,4.12,6.08,6.08,5.39,5.83,5.0,5.39,6.0,7.21,6.4,8.94,8.06,9.49,10.63,10.77,6.71,5.66,4.0,4.12,4.24,4.12,4.0,4.0,3.16,2.24,3.16,3.0,3.61,4.24,3.61,4.47,3.61,2.83,2.24,2.0,2.0,1.41,1.41,0.0519,1.8565,6.1925,0.0057,1.4251,7.4735,-3.5596
2026-03-13T11:21:44.568351,movement_stairs_0_0_0,3.104,0.958,0.328,7.491,55.785,5.765,102.0,12.288,9.359,2.578,5.378,6.32,5.83,5.0,5.0,4.12,4.0,3.16,2.83,3.61,3.16,3.0,2.24,2.24,3.61,3.16,4.0,4.12,3.16,4.12,3.61,5.0,3.61,3.0,3.16,3.61,3.16,4.12,5.0,4.12,4.47,5.66,5.0,4.47,5.1,4.12,5.39,5.0,4.47,5.1,5.0,5.39,5.0,5.39,6.08,0.0637,1.9349,6.0382,0.0489,1.257,8.5918,-3.7904
2026-03-13T11:21:44.568351,movement_stairs_0_0_0,3.1,0.922,0.327,7.158,52.485,6.474,102.0,12.375,11.62,2.581,5.277,8.06,8.49,8.06,7.28,7.0,7.28,6.71,6.4,7.21,7.28,6.08,6.0,5.39,5.83,5.0,5.39,5.1,5.39,5.83,5.66,6.32,1.0,0.0,1.0,2.0,1.41,1.41,2.0,1.0,2.24,2.24,3.0,2.83,2.83,3.16,4.12,4.24,5.0,5.39,6.0,7.28,7.21,7.81,7.62,0.0858,1.855,6.0049,-0.0065,1.425,7.5757,-3.7071
2026-03-13T11:21:44.584152,movement_stairs_0_0_0,3.087,0.922,0.326,7.463,55.486,5.893,109.0,13.182,9.849,2.685,5.179,6.71,6.08,5.1,5.0,4.24,4.47,4.12,3.0,3.16,3.16,2.24,2.24,2.0,3.16,3.61,4.24,5.0,4.47,5.0,5.1,5.0,3.16,2.0,2.83,2.24,2.0,2.24,2.83,2.83,3.16,4.12,4.0,4.0,4.47,4.24,4.47,5.1,6.0,6.32,5.83,5.83,4.47,5.1,5.83,0.1892,1.8865,6.1588,0.0373,1.48,8.9824,-3.3729
2026-03-13T11:21:44.630370,movement_stairs_0_0_0,3.079,0.893,0.332,7.557,56.425,5.687,114.0,13.793,10.235,2.247,4.628,5.39,5.0,4.47,5.1,5.1,5.0,4.47,4.47,5.0,4.0,3.16,3.61,3.61,3.61,3.16,3.0,4.12,3.16,3.61,3.61,4.12,3.16,3.61,2.24,3.0,3.0,3.16,3.61,4.24,3.61,3.16,3.0,3.16,2.83,3.16,3.0,4.12,3.61,3.61,4.47,4.0,4.12,5.0,5.83,0.1034,1.9067,5.9614,-0.0353,1.4371,7.0686,-3.7214
2026-03-13T11:21:44.633177,movement_stairs_0_0_0,3.079,0.893,0.331,7.483,55.649,5.067,111.0,13.534,9.334,4.019,1.993,4.0,4.47,4.47,3.61,3.16,3.0,3.61,4.24,4.47,5.0,5.1,5.83,5.83,6.32,7.07,6.32,7.81,7.62,8.06,7.28,7.81,5.0,4.47,4.47,4.12,3.0,3.16,2.83,2.24,1.41,1.41,2.0,1.41,2.24,2.24,2.0,2.0,1.41,2.0,2.0,2.0,2.24,1.0,1.0,-0.1023,1.8712,6.1413,0.0504,1.5134,9.0855,-2.8569
