timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high
2026-02-13T11:01:28.926320,movement_doors_closed_q2,3.079,1.38,0.393,5.593,37.9,13.673,116.0,14.317,19.572,4.633,16.67
2026-02-13T11:01:29.440400,movement_doors_closed_q2,3.09,2.019,0.944,6.577,47.115,9.061,88.0,10.493,12.804,3.936,10.38
2026-02-13T11:01:29.852235,movement_doors_closed_q2,2.92,1.952,1.078,0.903,4.989,8.39,29.0,4.564,10.196,3.897,10.955
2026-02-13T11:01:30.260578,movement_doors_closed_q2,2.826,1.709,0.67,7.341,54.263,5.652,107.0,13.026,9.771,1.07,6.094
2026-02-13T11:01:30.666780,movement_doors_closed_q2,2.755,1.905,0.625,6.84,49.443,9.134,105.0,12.597,11.608,4.515,11.181
2026-02-13T11:01:30.996328,movement_doors_closed_q2,2.41,2.108,0.522,6.638,47.618,10.089,103.0,12.319,14.339,4.331,11.527
2026-02-13T11:01:31.381607,movement_doors_closed_q2,3.024,0.983,0.228,7.311,54.047,8.179,117.0,14.0,12.805,3.364,8.36
2026-02-13T11:01:31.898333,movement_doors_closed_q2,2.878,1.026,0.206,7.106,52.025,8.428,111.0,13.316,13.428,2.855,8.976
2026-02-13T11:01:32.305088,movement_doors_closed_q2,2.828,1.061,0.278,6.935,50.383,9.076,110.0,13.202,13.844,3.348,9.993
2026-02-13T11:01:32.718129,movement_doors_closed_q2,3.073,0.934,0.175,6.211,43.626,13.207,120.0,14.456,18.857,5.477,15.192
2026-02-13T11:01:33.227171,movement_doors_closed_q2,2.765,1.158,0.217,7.017,51.163,8.522,109.0,13.096,13.495,2.824,9.215
2026-02-13T11:01:33.640103,movement_doors_closed_q2,2.824,0.947,0.204,7.258,53.512,8.466,120.0,14.383,13.342,3.083,8.949
2026-02-13T11:01:34.050420,movement_doors_closed_q2,2.92,1.381,0.532,7.181,52.834,9.427,116.0,13.786,14.236,4.493,9.545
2026-02-13T11:01:34.456070,movement_doors_closed_q2,2.83,1.611,0.451,7.683,57.712,3.669,97.0,11.821,6.306,1.975,2.768
2026-02-13T11:01:34.869037,movement_doors_closed_q2,2.967,2.21,1.486,5.99,41.474,12.438,117.0,14.322,15.35,5.322,16.451
2026-02-13T11:01:35.278086,movement_doors_closed_q2,3.185,2.207,1.447,6.444,45.741,11.516,111.0,13.316,17.766,5.222,11.559
2026-02-13T11:01:35.688271,movement_doors_closed_q2,2.554,2.973,1.887,5.62,37.976,11.477,115.0,14.474,13.459,4.694,16.062
2026-02-13T11:01:36.062890,movement_doors_closed_q2,2.708,2.519,1.491,6.728,48.346,9.32,106.0,12.772,14.579,3.303,10.042
2026-02-13T11:01:36.504530,movement_doors_closed_q2,2.54,2.426,0.888,7.395,54.845,8.019,123.0,14.741,13.017,3.447,7.613
2026-02-13T11:01:37.019847,movement_doors_closed_q2,2.85,1.378,0.387,7.247,53.421,8.858,119.0,14.21,13.166,3.778,9.595
2026-02-13T11:01:37.428281,movement_doors_closed_q2,2.916,1.459,0.448,6.816,49.308,10.005,108.0,12.886,15.005,4.09,10.879
2026-02-13T11:01:37.839618,movement_doors_closed_q2,2.876,1.358,0.334,6.548,46.645,10.314,105.0,12.615,13.927,4.661,12.261
2026-02-13T11:01:38.450617,movement_doors_closed_q2,2.825,1.529,0.485,7.486,55.77,7.868,128.0,15.341,12.537,3.455,7.623
2026-02-13T11:01:38.759791,movement_doors_closed_q2,2.62,3.316,2.526,-0.275,0.305,15.228,37.0,7.56,21.15,7.206,17.232
2026-02-13T11:01:39.085404,movement_doors_closed_q2,2.527,2.223,1.068,5.774,39.619,13.522,116.0,14.189,16.658,6.21,17.508
2026-02-13T11:01:39.495147,movement_doors_closed_q2,2.591,2.251,0.725,7.033,51.224,8.574,115.0,13.867,13.57,3.096,9.033
