timestamp,label,entropy_turb,iqr_turb,variance_turb,skewness,kurtosis,amp_mean,amp_range,amp_std,amp_mean_low,amp_mean_mid,amp_mean_high
2026-02-13T10:42:08.836358,movement_doors_closed_q1,3.052,0.268,0.015,-2.253,3.586,17.873,25.0,6.432,19.615,12.956,20.905
2026-02-13T10:42:09.242953,movement_doors_closed_q1,3.044,0.342,0.026,-2.172,3.451,17.339,27.0,6.287,19.423,12.561,19.911
2026-02-13T10:42:09.652806,movement_doors_closed_q1,3.169,0.329,0.026,-1.853,2.961,17.801,32.0,6.661,21.597,12.928,18.829
2026-02-13T10:42:10.164333,movement_doors_closed_q1,2.954,0.551,0.054,-1.093,3.498,17.169,40.0,6.796,20.327,12.889,18.239
2026-02-13T10:42:10.472783,movement_doors_closed_q1,2.947,0.526,0.052,-1.754,2.749,16.931,31.0,6.412,19.141,12.618,18.939
2026-02-13T10:42:10.882194,movement_doors_closed_q1,2.731,0.812,0.131,-0.569,3.733,16.255,42.0,6.825,17.113,12.449,19.069
2026-02-13T10:42:11.326814,movement_doors_closed_q1,2.391,2.522,0.942,-1.618,1.466,17.324,25.318,7.059,19.577,11.373,20.855
2026-02-13T10:42:11.805448,movement_doors_closed_q1,2.946,1.289,0.431,0.72,6.714,15.043,49.0,7.234,17.415,12.178,15.515
2026-02-13T10:42:12.214328,movement_doors_closed_q1,2.913,2.039,0.777,-1.54,1.609,22.967,32.016,9.111,22.854,15.445,30.255
2026-02-13T10:42:12.584823,movement_doors_closed_q1,2.785,1.897,0.714,0.076,5.11,16.722,49.0,7.505,20.538,11.625,17.944
2026-02-13T10:42:13.033353,movement_doors_closed_q1,3.034,1.764,0.972,-1.13,0.285,20.491,30.676,8.963,27.996,13.537,19.966
2026-02-13T10:42:13.543734,movement_doors_closed_q1,2.966,2.023,0.862,1.074,6.745,14.129,49.0,7.322,16.691,11.999,13.716
2026-02-13T10:42:13.851637,movement_doors_closed_q1,2.896,1.558,0.67,-1.471,1.621,18.291,28.0,7.279,18.085,12.001,24.491
2026-02-13T10:42:14.364107,movement_doors_closed_q1,3.137,1.683,0.745,-1.72,1.957,18.603,25.962,7.223,17.483,14.184,23.889
2026-02-13T10:42:14.772686,movement_doors_closed_q1,2.309,1.323,0.317,-1.55,3.666,17.274,37.0,6.533,19.174,12.831,19.7
2026-02-13T10:42:15.185396,movement_doors_closed_q1,2.801,1.037,0.195,-1.545,1.925,16.967,25.179,6.649,20.104,13.846,16.951
2026-02-13T10:42:15.591899,movement_doors_closed_q1,3.138,0.532,0.063,-2.099,3.112,20.794,28.302,7.63,22.6,15.612,24.015
2026-02-13T10:42:16.001722,movement_doors_closed_q1,2.099,1.154,0.165,-1.791,2.285,17.829,26.077,6.812,17.226,13.648,22.394
2026-02-13T10:42:16.322873,movement_doors_closed_q1,3.015,0.794,0.143,-0.838,3.866,18.612,46.0,7.528,21.616,13.638,20.492
2026-02-13T10:42:16.823831,movement_doors_closed_q1,2.79,1.993,1.3,-1.088,0.845,17.092,32.0,7.284,15.261,13.353,22.409
2026-02-13T10:42:17.232237,movement_doors_closed_q1,2.992,1.058,0.334,-1.143,2.218,17.406,38.0,7.076,20.911,12.334,18.902
2026-02-13T10:42:17.550852,movement_doors_closed_q1,2.437,1.108,0.152,-0.481,2.662,15.541,40.0,6.811,16.444,12.286,17.785
2026-02-13T10:42:18.053704,movement_doors_closed_q1,2.746,1.388,0.418,-1.821,2.085,31.899,44.385,12.393,31.58,23.581,40.143
2026-02-13T10:42:18.462178,movement_doors_closed_q1,2.893,1.419,0.393,-1.751,2.163,15.89,23.0,6.109,16.764,12.066,18.707
